"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p20_m10_n40",20,10,40,2,0.5,"MLE",1000,2.85959079762097,0.0714897699405243,3.06433338653511,NA,NA,0.588805887197707,0,0.00060000000000025,NA
"p20_m10_n40",20,10,40,2,0.5,"RWM",1000,5.46877857518651,0.136719464379663,5.61026395742788,1.11470826271952,0.002,0.693097292241026,1.28999999999996,1.35652,0.108507126781695
"p30_m10_n60",30,10,60,2,0.333333333333333,"Collapsed",1000,8.3423663296453,0.139039438827422,8.44136693732247,1.1407256555581,0,1.02979363274912,0.139999999999986,0.149880000000001,NA
"p30_m10_n60",30,10,60,2,0.333333333333333,"MLE",1000,4.34082526597627,0.0723470877662712,4.49754096435702,NA,NA,0.864095275759824,0,0.000589999999999691,NA
"p30_m10_n60",30,10,60,2,0.333333333333333,"RWM",1000,8.33823774729388,0.138970629121565,8.45574048440154,1.12423139171763,0,1.02981983204896,1.97000000000003,2.02338,0.0724736184046011
"p3_m10_n12",3,10,12,4,3.33333333333333,"Collapsed",1000,2.13904760255263,0.178253966879386,3.38307102185091,2.36112284828299,0.835,0.122198184013271,0.0800000000000409,0.0932400000000007,NA
"p3_m10_n12",3,10,12,4,3.33333333333333,"MLE",1000,1.57129207313567,0.130941006094639,2.94941215617364,NA,NA,0.109953871601589,0,0.000229999999999905,NA
"p3_m10_n12",3,10,12,4,3.33333333333333,"RWM",1000,2.18914231944041,0.182428526620034,3.44986830162042,2.34052801160231,0.829,0.12263201549681,0.769999999999982,0.785559999999999,0.494742685671418
"p5_m10_n20",5,10,20,4,2,"Collapsed",1000,3.35360545908304,0.167680272954152,4.24820620897655,2.42738321769791,0.689,0.152888606499342,0.0800000000000409,0.0941100000000005,NA
"p5_m10_n20",5,10,20,4,2,"MLE",1000,2.12193096504902,0.106096548252451,3.23676891546597,NA,NA,0.124777676506351,0,0.000250000000000114,NA
